seqnames,start,end,width,strand,source,type,score,phase,gene_id,gene_version,gene_name,gene_source,gene_biotype
chr7,27250012,27454645,204634,+,ensembl_havana,gene,NA,NA,ENSDARG00000015536,11,sox6,ensembl_havana,protein_coding
chr7,28901786,28999142,97357,+,ensembl_havana,gene,NA,NA,ENSDARG00000073731,5,dok4,ensembl_havana,protein_coding
chr7,29461816,29500370,38555,-,havana,gene,NA,NA,ENSDARG00000103873,2,BX927082.1,havana,antisense
chr7,30371893,30390376,18484,+,ensembl_havana,gene,NA,NA,ENSDARG00000053480,7,aqp9b,ensembl_havana,protein_coding
chr7,32021669,32142810,121142,+,ensembl_havana,gene,NA,NA,ENSDARG00000089236,4,mettl15,ensembl_havana,protein_coding
chr7,32693890,32716019,22130,+,ensembl_havana,gene,NA,NA,ENSDARG00000000442,11,slc39a13,ensembl_havana,protein_coding
chr7,33882597,33949246,66650,-,ensembl_havana,gene,NA,NA,ENSDARG00000036094,6,pias1a,ensembl_havana,protein_coding
chr7,33970698,34062301,91604,-,ensembl_havana,gene,NA,NA,ENSDARG00000011851,13,map2k5,ensembl_havana,protein_coding
chr7,34227075,34236091,9017,+,ensembl_havana,gene,NA,NA,ENSDARG00000036139,6,lctla,ensembl_havana,protein_coding
chr7,34317401,34413398,95998,-,ensembl_havana,gene,NA,NA,ENSDARG00000003495,12,madd,ensembl_havana,protein_coding
chr7,34549198,34618314,69117,+,ensembl_havana,gene,NA,NA,ENSDARG00000051768,7,fhod1,ensembl_havana,protein_coding
chr7,35282885,35314347,31463,-,ensembl_havana,gene,NA,NA,ENSDARG00000014378,11,slc12a4,ensembl_havana,protein_coding
chr7,35435258,35603955,168698,+,havana,gene,NA,NA,ENSDARG00000104955,3,BX294178.2,havana,antisense
chr7,35585636,35665643,80008,+,ensembl,gene,NA,NA,ENSDARG00000117509,1,BX294178.3,ensembl,lincRNA
chr7,35679424,35763213,83790,+,havana,gene,NA,NA,ENSDARG00000105586,2,BX255967.1,havana,processed_transcript
chr7,37861247,37895771,34525,-,ensembl_havana,gene,NA,NA,ENSDARG00000060071,7,tent4b,ensembl_havana,protein_coding
chr7,39255781,39360325,104545,-,ensembl,gene,NA,NA,ENSDARG00000008322,11,ambra1a,ensembl,protein_coding
chr7,39664055,39678530,14476,+,ensembl_havana,gene,NA,NA,ENSDARG00000052244,9,zgc:158564,ensembl_havana,protein_coding
chr7,44445595,44471544,25950,+,ensembl_havana,gene,NA,NA,ENSDARG00000075549,4,cdh5,ensembl_havana,protein_coding
chr7,48266129,48297725,31597,-,havana,gene,NA,NA,ENSDARG00000098184,2,BX663612.1,havana,antisense
chr7,48288762,48296227,7466,+,ensembl_havana,gene,NA,NA,ENSDARG00000059815,7,oaz2b,ensembl_havana,protein_coding
chr7,49078890,49271492,192603,+,ensembl_havana,gene,NA,NA,ENSDARG00000076701,5,b4galnt4b,ensembl_havana,protein_coding
chr7,50228015,50272912,44898,-,ensembl_havana,gene,NA,NA,ENSDARG00000035872,8,hsd17b12b,ensembl_havana,protein_coding
chr7,50920437,51102479,182043,-,ensembl_havana,gene,NA,NA,ENSDARG00000052061,7,col4a6,ensembl_havana,protein_coding
chr7,51103232,51194430,91199,+,ensembl_havana,gene,NA,NA,ENSDARG00000052063,8,col4a5,ensembl_havana,protein_coding
chr7,52158818,52285349,126532,+,ensembl_havana,gene,NA,NA,ENSDARG00000005456,12,katnb1,ensembl_havana,protein_coding
chr7,52830254,52876683,46430,-,ensembl_havana,gene,NA,NA,ENSDARG00000059601,8,map1aa,ensembl_havana,protein_coding
chr7,53059299,53117237,57939,-,ensembl_havana,gene,NA,NA,ENSDARG00000102750,2,cdh1,ensembl_havana,protein_coding
chr7,53215678,53231081,15404,+,havana,gene,NA,NA,ENSDARG00000104440,2,cdh30,havana,protein_coding
chr7,57432318,57470497,38180,+,ensembl_havana,gene,NA,NA,ENSDARG00000035820,6,drd4b,ensembl_havana,protein_coding
chr7,60457138,60831105,373968,-,ensembl_havana,gene,NA,NA,ENSDARG00000051939,7,pcxb,ensembl_havana,protein_coding
chr7,66822229,66833588,11360,+,ensembl_havana,gene,NA,NA,ENSDARG00000075833,5,lyve1a,ensembl_havana,protein_coding
chr7,67325933,67421313,95381,+,ensembl_havana,gene,NA,NA,ENSDARG00000102556,2,nfat5b,ensembl_havana,protein_coding
chr7,68886106,68962254,76149,-,ensembl,gene,NA,NA,ENSDARG00000117443,1,CABZ01057496.1,ensembl,lincRNA
chr5,250078,299454,49377,+,ensembl,gene,NA,NA,ENSDARG00000089701,4,trabd2a,ensembl,protein_coding
chr5,315183,417535,102353,-,ensembl,gene,NA,NA,ENSDARG00000114329,1,HOOK3,ensembl,protein_coding
chr5,4054704,4142955,88252,+,ensembl_havana,gene,NA,NA,ENSDARG00000046090,8,dhrs11a,ensembl_havana,protein_coding
chr5,4298636,4318689,20054,+,ensembl_havana,gene,NA,NA,ENSDARG00000069013,5,prdx4,ensembl_havana,protein_coding
chr5,5171254,5243111,71858,-,ensembl_havana,gene,NA,NA,ENSDARG00000091619,3,mvb12ba,ensembl_havana,protein_coding
chr5,6515741,6567464,51724,-,ensembl,gene,NA,NA,ENSDARG00000068760,6,tnks1bp1,ensembl,protein_coding
chr5,7919878,7969760,49883,-,ensembl,gene,NA,NA,ENSDARG00000099008,2,CT737133.1,ensembl,protein_coding
chr5,8533929,8614217,80289,-,ensembl_havana,gene,NA,NA,ENSDARG00000100867,3,rictora,ensembl_havana,protein_coding
chr5,8684652,8711157,26506,-,ensembl_havana,gene,NA,NA,ENSDARG00000042892,6,paip1,ensembl_havana,protein_coding
chr5,10765611,10946379,180769,-,ensembl_havana,gene,NA,NA,ENSDARG00000090035,9,rtn4r,ensembl_havana,protein_coding
chr5,14306475,14373662,67188,-,ensembl_havana,gene,NA,NA,ENSDARG00000062646,7,tet3,ensembl_havana,protein_coding
chr5,14477282,14521500,44219,-,ensembl_havana,gene,NA,NA,ENSDARG00000068759,5,si:ch211-244o22.2,ensembl_havana,protein_coding
chr5,15992655,16126906,134252,+,ensembl_havana,gene,NA,NA,ENSDARG00000062573,8,znrf3,ensembl_havana,protein_coding
chr5,16151944,16274058,122115,-,ensembl_havana,gene,NA,NA,ENSDARG00000062579,7,kremen1,ensembl_havana,protein_coding
chr5,18431401,18513950,82550,-,ensembl_havana,gene,NA,NA,ENSDARG00000062538,6,si:dkey-215k6.1,ensembl_havana,protein_coding
chr5,19385503,19400166,14664,-,ensembl_havana,gene,NA,NA,ENSDARG00000010591,11,foxn4,ensembl_havana,protein_coding
chr5,21891305,21909082,17778,+,havana,gene,NA,NA,ENSDARG00000093081,2,si:ch73-92i20.1,havana,protein_coding
chr5,22098591,22106594,8004,+,ensembl_havana,gene,NA,NA,ENSDARG00000062463,8,zc3h12b,ensembl_havana,protein_coding
chr5,23256187,23266238,10052,+,havana,gene,NA,NA,ENSDARG00000094760,4,si:dkey-125i10.3,havana,protein_coding
chr5,23849647,23855447,5801,-,havana,gene,NA,NA,ENSDARG00000035555,6,gbgt1l3,havana,protein_coding
chr5,23874796,23878809,4014,-,ensembl_havana,gene,NA,NA,ENSDARG00000091969,2,gbgt1l3,ensembl_havana,protein_coding
chr5,23913585,23926519,12935,+,ensembl_havana,gene,NA,NA,ENSDARG00000002479,8,ercc6l,ensembl_havana,protein_coding
chr5,24282570,24294160,11591,+,ensembl_havana,gene,NA,NA,ENSDARG00000029039,7,zdhhc23a,ensembl_havana,protein_coding
chr5,24571750,24712405,140656,-,ensembl_havana,gene,NA,NA,ENSDARG00000022772,9,si:ch211-106a19.1,ensembl_havana,protein_coding
chr5,24723405,24750286,26882,-,ensembl_havana,gene,NA,NA,ENSDARG00000062314,3,rasl10a,ensembl_havana,protein_coding
chr5,24756496,24812899,56404,-,ensembl_havana,gene,NA,NA,ENSDARG00000020621,10,ap1b1,ensembl_havana,protein_coding
chr5,27583117,27743830,160714,+,ensembl_havana,gene,NA,NA,ENSDARG00000092987,3,zmat4a,ensembl_havana,protein_coding
chr5,28999474,29122834,123361,-,ensembl_havana,gene,NA,NA,ENSDARG00000068166,6,whrnb,ensembl_havana,protein_coding
chr5,29597645,29643930,46286,-,ensembl_havana,gene,NA,NA,ENSDARG00000025728,11,grin1b,ensembl_havana,protein_coding
chr5,30518036,30534426,16391,+,ensembl_havana,gene,NA,NA,ENSDARG00000008840,10,hmbsa,ensembl_havana,protein_coding
chr5,30780600,30826892,46293,+,havana,gene,NA,NA,ENSDARG00000093741,2,BX276103.1,havana,processed_transcript
chr5,32924669,32962023,37355,+,ensembl_havana,gene,NA,NA,ENSDARG00000013853,7,lmo4a,ensembl_havana,protein_coding
chr5,33356425,33460959,104535,-,ensembl,gene,NA,NA,ENSDARG00000060631,6,si:ch211-182d3.1,ensembl,protein_coding
chr5,34066591,34185497,118907,-,ensembl_havana,gene,NA,NA,ENSDARG00000060393,6,fibcd1,ensembl_havana,protein_coding
chr5,34407763,34542480,134718,+,ensembl_havana,gene,NA,NA,ENSDARG00000093572,2,lamc3,ensembl_havana,protein_coding
chr5,35202063,35252761,50699,-,ensembl,gene,NA,NA,ENSDARG00000035390,7,tnpo1,ensembl,protein_coding
chr5,38200807,38214807,14001,+,ensembl_havana,gene,NA,NA,ENSDARG00000031336,8,hsd20b2,ensembl_havana,protein_coding
chr5,38517486,38533861,16376,-,ensembl,gene,NA,NA,ENSDARG00000103123,2,CR854980.1,ensembl,protein_coding
chr5,39875646,39938810,63165,+,ensembl_havana,gene,NA,NA,ENSDARG00000095562,3,si:ch73-138i16.1,ensembl_havana,protein_coding
chr5,43617262,43682930,65669,-,ensembl_havana,gene,NA,NA,ENSDARG00000031345,10,si:dkey-40c11.1,ensembl_havana,protein_coding
chr5,46077710,46196708,118999,+,ensembl_havana,gene,NA,NA,ENSDARG00000060010,6,iqgap2,ensembl_havana,protein_coding
chr5,46424437,46486028,61592,+,ensembl_havana,gene,NA,NA,ENSDARG00000103515,2,vcana,ensembl_havana,protein_coding
chr5,46658045,46980651,322607,-,ensembl_havana,gene,NA,NA,ENSDARG00000093413,4,edil3a,ensembl_havana,protein_coding
chr5,49768223,50084310,316088,-,ensembl_havana,gene,NA,NA,ENSDARG00000052697,7,fam172a,ensembl_havana,protein_coding
chr5,50442112,50748081,305970,-,ensembl,gene,NA,NA,ENSDARG00000076404,4,mctp1a,ensembl,protein_coding
chr5,51774983,51830997,56015,-,ensembl_havana,gene,NA,NA,ENSDARG00000101759,2,homer1b,ensembl_havana,protein_coding
chr5,52596850,52621954,25105,+,ensembl_havana,gene,NA,NA,ENSDARG00000102338,2,ptar1,ensembl_havana,protein_coding
chr5,57320113,57325557,5445,+,ensembl_havana,gene,NA,NA,ENSDARG00000022315,8,atp6v1g1,ensembl_havana,protein_coding
chr5,57814165,57879235,65071,-,ensembl_havana,gene,NA,NA,ENSDARG00000079618,5,sik2a,ensembl_havana,protein_coding
chr5,62052538,62289065,236528,+,ensembl_havana,gene,NA,NA,ENSDARG00000094587,3,si:dkey-35m8.1,ensembl_havana,protein_coding
chr5,64411516,64454466,42951,-,ensembl_havana,gene,NA,NA,ENSDARG00000100129,3,brd3b,ensembl_havana,protein_coding
chr5,66433287,66512308,79022,+,ensembl,gene,NA,NA,ENSDARG00000101670,2,kntc1,ensembl,protein_coding
chr5,67079540,67115872,36333,-,ensembl_havana,gene,NA,NA,ENSDARG00000044436,8,rps6ka4,ensembl_havana,protein_coding
chr5,67533180,67661102,127923,-,ensembl_havana,gene,NA,NA,ENSDARG00000005586,8,zbtb20,ensembl_havana,protein_coding
chr5,67835595,67860319,24725,+,ensembl_havana,gene,NA,NA,ENSDARG00000101808,2,si:ch211-271b14.1,ensembl_havana,protein_coding
chr5,67971627,67978743,7117,+,ensembl_havana,gene,NA,NA,ENSDARG00000039649,7,mtif3,ensembl_havana,protein_coding
chr5,72066835,72075456,8622,-,ensembl,gene,NA,NA,ENSDARG00000059455,6,dqx1,ensembl,protein_coding
chr3,431208,454166,22959,+,ensembl_havana,gene,NA,NA,ENSDARG00000039752,6,si:dkey-167k11.5,ensembl_havana,protein_coding
chr3,1191370,1204341,12972,-,ensembl_havana,gene,NA,NA,ENSDARG00000006758,10,fam234b,ensembl_havana,protein_coding
chr3,5647772,5664123,16352,-,havana,gene,NA,NA,ENSDARG00000017720,10,si:ch211-106h11.1,havana,protein_coding
chr3,5778954,5829501,50548,-,ensembl,gene,NA,NA,ENSDARG00000062748,6,pkn1b,ensembl,protein_coding
chr3,6639796,6669640,29845,+,ensembl_havana,gene,NA,NA,ENSDARG00000099371,2,cygb1,ensembl_havana,protein_coding
chr3,8323586,8542577,218992,-,ensembl_havana,gene,NA,NA,ENSDARG00000074310,6,rbfox3b,ensembl_havana,protein_coding
chr3,9984718,10014575,29858,-,havana,gene,NA,NA,ENSDARG00000097649,2,FP243382.1,havana,lincRNA
chr3,10914113,11008532,94420,-,ensembl,gene,NA,NA,ENSDARG00000101863,2,CR382337.3,ensembl,protein_coding
chr3,11079404,11089062,9659,-,ensembl_havana,gene,NA,NA,ENSDARG00000102578,2,mif4gdb,ensembl_havana,protein_coding
chr3,11867701,12381272,513572,-,ensembl_havana,gene,NA,NA,ENSDARG00000089616,6,coro7,ensembl_havana,protein_coding
chr3,11977271,12026741,49471,-,ensembl,gene,NA,NA,ENSDARG00000058508,8,cfap70,ensembl,protein_coding
chr3,13511984,13521115,9132,+,ensembl,gene,NA,NA,ENSDARG00000104841,2,CABZ01015475.1,ensembl,protein_coding
chr3,14768364,15058464,290101,+,ensembl_havana,gene,NA,NA,ENSDARG00000061836,8,nfixb,ensembl_havana,protein_coding
chr3,15425785,15451097,25313,-,ensembl,gene,NA,NA,ENSDARG00000100334,2,BX784026.1,ensembl,protein_coding
chr3,15708419,15734530,26112,-,ensembl_havana,gene,NA,NA,ENSDARG00000021242,12,mvp,ensembl_havana,protein_coding
chr3,16612574,16654088,41515,+,ensembl_havana,gene,NA,NA,ENSDARG00000016480,8,slc17a7a,ensembl_havana,protein_coding
chr3,16643253,16659935,16683,-,havana,gene,NA,NA,ENSDARG00000093118,2,CR847509.1,havana,antisense
chr3,16747317,16760923,13607,-,ensembl_havana,gene,NA,NA,ENSDARG00000038297,5,aspdh,ensembl_havana,protein_coding
chr3,17251542,17331919,80378,+,ensembl_havana,gene,NA,NA,ENSDARG00000019392,10,stat5a,ensembl_havana,protein_coding
chr3,18185616,18189283,3668,-,ensembl_havana,gene,NA,NA,ENSDARG00000032619,6,tob1a,ensembl_havana,protein_coding
chr3,19732173,19813526,81354,+,ensembl,gene,NA,NA,ENSDARG00000078135,5,mrc2,ensembl,protein_coding
chr3,19850937,19899914,48978,-,ensembl_havana,gene,NA,NA,ENSDARG00000070735,5,rnd2,ensembl_havana,protein_coding
chr3,19914332,19971774,57443,+,ensembl_havana,gene,NA,NA,ENSDARG00000056481,5,vat1,ensembl_havana,protein_coding
chr3,21379057,21596667,217611,+,havana,gene,NA,NA,ENSDARG00000097315,3,BX927078.1,havana,antisense
chr3,21669545,21889616,220072,+,ensembl_havana,gene,NA,NA,ENSDARG00000003989,11,crhr1,ensembl_havana,protein_coding
chr3,23247325,23348084,100760,+,ensembl_havana,gene,NA,NA,ENSDARG00000079366,5,ppp1r9ba,ensembl_havana,protein_coding
chr3,23697997,23771945,73949,+,ensembl_havana,gene,NA,NA,ENSDARG00000029263,10,hoxb3a,ensembl_havana,protein_coding
chr3,23701915,23860941,159027,-,havana,gene,NA,NA,ENSDARG00000097891,3,CR751227.2,havana,antisense
chr3,23768898,23771142,2245,+,ensembl_havana,gene,NA,NA,ENSDARG00000008174,7,hoxb1a,ensembl_havana,protein_coding
chr3,24297482,24434905,137424,+,ensembl_havana,gene,NA,NA,ENSDARG00000009311,8,pvalb6,ensembl_havana,protein_coding
chr3,27982269,28428198,445930,-,ensembl_havana,gene,NA,NA,ENSDARG00000014746,11,rbfox1,ensembl_havana,protein_coding
chr3,28634467,28665291,30825,-,ensembl_havana,gene,NA,NA,ENSDARG00000060915,7,fbxl16,ensembl_havana,protein_coding
chr3,28649967,28733702,83736,+,havana,gene,NA,NA,ENSDARG00000096409,4,CR792438.2,havana,antisense
chr3,28801366,28905492,104127,-,havana,gene,NA,NA,ENSDARG00000096266,3,BX510989.1,havana,antisense
chr3,30022078,30023202,1125,-,havana,gene,NA,NA,ENSDARG00000097575,2,CU914602.1,havana,lincRNA
chr3,30317853,30346789,28937,+,havana,gene,NA,NA,ENSDARG00000096295,2,CR936968.1,havana,lincRNA
chr3,32080403,32098515,18113,+,ensembl_havana,gene,NA,NA,ENSDARG00000037935,7,aldh16a1,ensembl_havana,protein_coding
chr3,32458720,32472155,13436,-,havana,gene,NA,NA,ENSDARG00000017579,10,si:ch211-195b15.7,havana,protein_coding
chr3,32603256,32637678,34423,-,ensembl,gene,NA,NA,ENSDARG00000110163,1,CU459155.1,ensembl,protein_coding
chr3,32620575,32629489,8915,+,havana,gene,NA,NA,ENSDARG00000077290,5,mmp25a,havana,protein_coding
chr3,32671146,32680126,8981,+,ensembl_havana,gene,NA,NA,ENSDARG00000027182,5,rnf25,ensembl_havana,protein_coding
chr3,32969204,32973554,4351,-,ensembl_havana,gene,NA,NA,ENSDARG00000070368,5,casp6l2,ensembl_havana,protein_coding
chr3,33065613,33259621,194009,-,ensembl_havana,gene,NA,NA,ENSDARG00000034893,9,rarab,ensembl_havana,protein_coding
chr3,34220194,34230565,10372,+,ensembl_havana,gene,NA,NA,ENSDARG00000024708,9,slc25a23b,ensembl_havana,protein_coding
chr3,34258755,34337969,79215,-,ensembl_havana,gene,NA,NA,ENSDARG00000076847,5,tnrc6c1,ensembl_havana,protein_coding
chr3,34452336,34586403,134068,-,ensembl_havana,gene,NA,NA,ENSDARG00000020235,14,sept9a,ensembl_havana,protein_coding
chr3,34846201,34917041,70841,+,ensembl_havana,gene,NA,NA,ENSDARG00000037917,7,itga3a,ensembl_havana,protein_coding
chr3,35632773,35801146,168374,-,ensembl_havana,gene,NA,NA,ENSDARG00000046107,7,caskin1,ensembl_havana,protein_coding
chr3,36136530,36153591,17062,-,ensembl_havana,gene,NA,NA,ENSDARG00000010035,10,engase,ensembl_havana,protein_coding
chr3,36275633,36286650,11018,+,ensembl_havana,gene,NA,NA,ENSDARG00000090369,6,zgc:86896,ensembl_havana,protein_coding
chr3,36972298,37055051,82754,+,ensembl_havana,gene,NA,NA,ENSDARG00000070174,6,PLEKHH3,ensembl_havana,protein_coding
chr3,37776489,37785873,9385,-,ensembl_havana,gene,NA,NA,ENSDARG00000020623,8,baxa,ensembl_havana,protein_coding
chr3,38762891,38783951,21061,-,ensembl_havana,gene,NA,NA,ENSDARG00000000567,10,znf281a,ensembl_havana,protein_coding
chr3,39970355,40054749,84395,-,ensembl_havana,gene,NA,NA,ENSDARG00000009693,12,llgl1,ensembl_havana,protein_coding
chr3,40397862,40405153,7292,-,havana,gene,NA,NA,ENSDARG00000097119,2,AL928657.1,havana,lincRNA
